
@corpus\AlbertoProenca.md	@corpus\AlbertoProenca.md	VERB	
divisões	divisão	NOUN	
das	de o	ADP	
casas	casa	NOUN	

Aquela	Aquele	DET	
parte	parte	NOUN	
de	de	ADP	
Nampula	Nampula	PROPN	LOC
onde	onde	PRON	
eu	eu	PRON	
vivia	viver	VERB	
era	ser	AUX	
a	o	DET	
parte	parte	NOUN	
habitada	habitar	VERB	
essencialmente	essencialmente	ADV	
por	por	ADP	
europeus	europeu	NOUN	
e	e	CCONJ	
o	o	DET	
tipo	tipo	NOUN	
de	de	ADP	
construção	construção	NOUN	
perfeitamente	perfeitamente	ADV	
equivalente	equivalente	ADJ	
à	a o	PRON	
de	de	ADP	
Portugal	Portugal	PROPN	LOC

Ainda	ainda	ADV	
não	não	ADV	
havia	haver	VERB	
construções	construção	NOUN	
em	em	ADP	
termos	termos	NOUN	
de	de	ADP	
prédios	prédio	NOUN	

Eu	eu	PRON	
lembro-me	lembro-me	VERB	
que	que	SCONJ	
o	o	DET	
primeiro	primeiro	ADJ	
prédio	prédio	NOUN	
que	que	PRON	
apareceu	aparecer	VERB	
lá	lá	ADV	
de	de	ADP	
quatro	quatro	NUM	
andares	andar	NOUN	
em	em	ADP	
que	que	PRON	
é	ser	AUX	
obrigatório	obrigatório	ADJ	
o	o	DET	
elevador	elevador	NOUN	
apareceu	aparecer	VERB	
já	já	ADV	
quando	quando	ADV	
eu	eu	PRON	
devia	dever	VERB	
ter	ter	VERB	
6/8	6/8	NUM	
anos	ano	NOUN	

Era	ser	AUX	
o	o	DET	
prédio	prédio	NOUN	
da	de o	ADP	
cidade	cidade	NOUN	
e	e	CCONJ	
tudo	tudo	PRON	
o	o	DET	
resto	resto	NOUN	
era	ser	AUX	
tipo	tipo	NOUN	
vivendas	vivenda	NOUN	

Foi	ser	AUX	
uma	um	DET	
casa	casa	NOUN	
que	que	PRON	
os	o	DET	
meus	meu	DET	
pais	pai	NOUN	
conseguiram	conseguir	VERB	
construir	construir	VERB	
mediante	mediante	ADP	
um	um	DET	
empréstimo	empréstimo	NOUN	
para	para	SCONJ	
ter	ter	VERB	
habitação	habitação	NOUN	
própria	próprio	ADJ	
mas	mas	CCONJ	
era	ser	AUX	
aquilo	aquilo	PRON	
